상호,평점,요약,주소,전화번호
이모네식당,NA,서대문구 - 탕 / 찌개 / 전골,서울특별시 서대문구 경기대로 25,02-313-7171
사랑죽,NA,서대문구 - 기타 한식,서울특별시 서대문구 충정로 7 구세군빌딩,02-6364-4904
피자인,NA,서대문구 - 기타 양식,서울특별시 서대문구 경기대로 23 1F 2호,02-364-7979
남원골,NA,서대문구 - 탕 / 찌개 / 전골,서울특별시 서대문구 충정로5길 11,02-363-3007
호산나의정부부대찌개,NA,서대문구 - 탕 / 찌개 / 전골,서울특별시 서대문구 충정로4길 8,02-313-1678
수정식당,NA,서대문구 - 한정식 / 백반 / 정통 한식,서울특별시 서대문구 충정로2길 18,02-364-1117
김솔솔김밥,NA,서대문구 - 기타 한식,서울특별시 서대문구 경기대로 26-7,02-313-3777
명문손칼국수,NA,서대문구 - 국수 / 면 요리,서울특별시 서대문구 경기대로 25,02-365-7602
국수나무 (충정로점),NA,서대문구 - 국수 / 면 요리,서울특별시 서대문구 충정로 7 구세군빌딩,02-6364-4964
쏨쏨타이,NA,서대문구 - 태국 음식,서울특별시 서대문구 충정로 20 1F,02-6405-7742
신현무관,NA,서대문구 - 정통 중식 / 일반 중식,서울특별시 서대문구 경기대로 27-1 1F,02-720-8288
치킨마루 (충정로점),NA,시청/남대문 - 닭 / 오리 요리,서울특별시 중구 서소문로 8,02-365-0016
가마솥닭한마리칼국수,NA,서대문구 - 국수 / 면 요리,서울특별시 서대문구 충정로4길 27-3,02-392-8402
루시바,NA,서대문구 - 칵테일 / 와인,서울특별시 서대문구 서소문로 27 리시온오피스텔,02-365-6756
토담길갈치조림전문,NA,서대문구 - 탕 / 찌개 / 전골,서울특별시 서대문구 충정로4길 5-1,02-362-0548
파우치커피 (충정로점),NA,서대문구 - 카페 / 디저트,서울특별시 서대문구 충정로 30,02-313-8572
고려정,NA,시청/남대문 - 한정식 / 백반 / 정통 한식,서울특별시 중구 서소문로 38 디오센터 B1,02-313-1555
본가한정식,NA,서대문구 - 한정식 / 백반 / 정통 한식,서울특별시 서대문구 충정로4길 5-3,02-392-3004
옛날남원식당,NA,시청/남대문 - 탕 / 찌개 / 전골,서울특별시 중구 서소문로 22-27,02-313-8272
할매추어탕,NA,서대문구 - 탕 / 찌개 / 전골,서울특별시 서대문구 충정로4길 25,02-365-5909
해미수산 (충정로점),NA,시청/남대문 - 회 / 스시,서울특별시 중구 서소문로 12,02-392-4931
카파,NA,서대문구 - 카페 / 디저트,서울특별시 서대문구 충정로4길 1,02-313-5588
떡볶이만세,NA,서대문구 - 기타 한식,서울특별시 서대문구 충정로 26,02-363-8508
놀부부대찌개&철판구이 (충정로역점),NA,서대문구 - 탕 / 찌개 / 전골,서울특별시 서대문구 충정로 7 구세군빌딩,02-6364-4959
옛살비돌판구이,NA,서대문구 - 고기 요리,서울특별시 서대문구 충정로4길 26,02-364-6154
내림손삼계탕 (충정로점),NA,서대문구 - 닭 / 오리 요리,서울특별시 서대문구 충정로 7 구세군빌딩,02-6364-4966
백암토종순대,NA,서대문구 - 탕 / 찌개 / 전골,서울특별시 서대문구 충정로2길 26,02-362-1005
은성부대찌개,NA,서대문구 - 탕 / 찌개 / 전골,서울특별시 서대문구 충정로4길 9,02-739-5622
카페리빈,NA,시청/남대문 - 카페 / 디저트,서울특별시 서대문구 충정로 36 1F,02-313-2442
소담,NA,시청/남대문 - 카페 / 디저트,서울특별시 중구 서소문로 22,02-313-3449
양마을,NA,서대문구 - 고기 요리,서울특별시 서대문구 충정로4길 22-3,고기 요리
영호네벌교꼬막,NA,신촌/이대 - 해산물 요리,서울특별시 서대문구 신촌로 325,02-364-5483
곳찌,NA,시청/남대문 - 일반 주점,서울특별시 서대문구 경기대로 27,02-393-0611
손큰할매순대국 (충정로역점),NA,중구 - 탕 / 찌개 / 전골,서울특별시 중구 중림로 10 삼성사이버빌리지,070-7789-5149
왕십리전통곱창,NA,서대문구 - 고기 요리,서울특별시 서대문구 충정로4길 24,02-313-7911
에스프레소인,NA,서대문구 - 카페 / 디저트,서울특별시 서대문구 서소문로 43-22,02-7130-0622
아현영양족발,NA,서대문구 - 고기 요리,서울특별시 서대문구 경기대로 29,02-717-8520
브라보,NA,서대문구 - 남미 음식,서울특별시 서대문구 충정로4길 22-4,02-393-1588
원조봉순게장,NA,서대문구 - 한정식 / 백반 / 정통 한식,서울특별시 서대문구 경기대로 26-26 B1-6호,02-3147-2333
도우스,NA,서대문구 - 기타 양식,서울특별시 서대문구 충정로4길 16 1F,02-365-7407
미친피자 (서대문점),NA,서대문구 - 기타 양식,서울특별시 서대문구 서소문로 27 충정리시온,02-312-7571
하얀꿈호프,NA,서대문구 - 치킨 / 호프 / 펍,서울특별시 서대문구 충정로4길 17,02-362-4990
홍콩중화요리,NA,서대문구 - 정통 중식 / 일반 중식,서울특별시 서대문구 충정로 13 B1,02-312-8811
볏꽃주택,NA,서대문구 - 일반 주점,서울특별시 서대문구 충정로4길 20,일반 주점
